index,date,value
index,2024-10-01,166.222908875352
index,2024-09-01,161.372027699105
index,2024-08-01,164.11079846897
index,2024-07-01,166.137493006254
index,2024-06-01,166.737594187273
index,2024-05-01,168.691950604003
index,2024-04-01,170.397592106648
index,2024-03-01,163.075985135962
index,2024-02-01,158.634377947471
index,2024-01-01,159.314569939223
index,2023-12-01,159.538363227803
index,2023-11-01,165.138261723492
index,2023-10-01,167.909337962592
index,2023-09-01,168.607096444481
index,2023-08-01,161.271623423864
index,2023-07-01,157.908976461302
index,2023-06-01,154.069169324197
index,2023-05-01,157.134011971114
index,2023-04-01,170.764655371124
index,2023-03-01,168.300258877164
index,2023-02-01,174.561285576855
index,2023-01-01,182.636276723332
index,2022-12-01,194.348353128788
index,2022-11-01,192.082165845632
index,2022-10-01,191.366336082467
index,2022-09-01,220.018632836415
index,2022-08-01,241.918745982485
index,2022-07-01,229.44624567392
index,2022-06-01,231.60325471598
index,2022-05-01,226.337300490765
index,2022-04-01,228.265142658564
index,2022-03-01,239.861970330611
index,2022-02-01,203.505762695553
index,2022-01-01,192.250049963359
index,2021-12-01,186.691340581823
index,2021-11-01,183.088126088991
index,2021-10-01,191.501525030901
index,2021-09-01,171.571139116163
index,2021-08-01,163.178759997096
index,2021-07-01,164.827040832743
index,2021-06-01,160.762443495608
index,2021-05-01,155.194593870454
index,2021-04-01,145.241826377187
index,2021-03-01,141.003888400872
index,2021-02-01,137.97817427033
index,2021-01-01,136.957834792857
index,2020-12-01,125.252659162981
index,2020-11-01,115.231344019608
index,2020-10-01,111.246641726076
index,2020-09-01,108.328519788263
index,2020-08-01,108.679955303339
index,2020-07-01,102.887179091693
index,2020-06-01,99.8921663876564
index,2020-05-01,91.7174653391091
index,2020-04-01,85.0490316170515
index,2020-03-01,93.1705055905076
index,2020-02-01,110.137603592061
index,2020-01-01,118.811698214241
index,2019-12-01,119.29872697487
index,2019-11-01,116.427399713612
index,2019-10-01,112.652198070281
index,2019-09-01,114.071880638148
index,2019-08-01,112.040003428534
index,2019-07-01,117.375106218246
index,2019-06-01,114.86701571619
index,2019-05-01,119.639814357328
index,2019-04-01,122.77998094573
index,2019-03-01,119.364307743277
index,2019-02-01,118.744238482665
index,2019-01-01,117.018940738944
index,2018-12-01,115.900162011294
index,2018-11-01,121.454747024837
index,2018-10-01,132.817541291737
index,2018-09-01,131.720310839944
index,2018-08-01,127.500840494068
index,2018-07-01,129.840947702809
index,2018-06-01,131.646123912483
index,2018-05-01,132.836006812929
index,2018-04-01,128.083658939941
index,2018-03-01,126.116602528027
index,2018-02-01,126.349051212069
index,2018-01-01,128.461669849086
index,2017-12-01,121.992279700185
index,2017-11-01,120.500268941428
index,2017-10-01,115.562701096136
