,index,date,value
0,index,2024-09-01,161.566179844622
1,index,2024-08-01,164.136246469666
2,index,2024-07-01,166.137493006254
3,index,2024-06-01,166.737594187273
4,index,2024-05-01,168.691950604003
5,index,2024-04-01,170.397592106648
6,index,2024-03-01,163.075985135962
7,index,2024-02-01,158.634377947471
8,index,2024-01-01,159.314569939223
9,index,2023-12-01,159.538363227803
10,index,2023-11-01,165.138261723492
11,index,2023-10-01,167.909337962592
12,index,2023-09-01,168.607096444481
13,index,2023-08-01,161.271623423864
14,index,2023-07-01,157.908976461302
15,index,2023-06-01,154.069169324197
16,index,2023-05-01,157.134011971114
17,index,2023-04-01,170.764655371124
18,index,2023-03-01,168.300258877164
19,index,2023-02-01,174.561285576855
20,index,2023-01-01,182.636276723332
21,index,2022-12-01,194.348353128788
22,index,2022-11-01,192.082165845632
23,index,2022-10-01,191.366336082467
24,index,2022-09-01,220.018632836415
25,index,2022-08-01,241.918745982485
26,index,2022-07-01,229.44624567392
27,index,2022-06-01,231.60325471598
28,index,2022-05-01,226.337300490765
29,index,2022-04-01,228.265142658564
30,index,2022-03-01,239.861970330611
31,index,2022-02-01,203.505762695553
32,index,2022-01-01,192.250049963359
33,index,2021-12-01,186.691340581823
34,index,2021-11-01,183.088126088991
35,index,2021-10-01,191.501525030901
36,index,2021-09-01,171.571139116163
37,index,2021-08-01,163.178759997096
38,index,2021-07-01,164.827040832743
39,index,2021-06-01,160.762443495608
40,index,2021-05-01,155.194593870454
41,index,2021-04-01,145.241826377187
42,index,2021-03-01,141.003888400872
43,index,2021-02-01,137.97817427033
44,index,2021-01-01,136.957834792857
45,index,2020-12-01,125.252659162981
46,index,2020-11-01,115.231344019608
47,index,2020-10-01,111.246641726076
48,index,2020-09-01,108.328519788263
49,index,2020-08-01,108.679955303339
50,index,2020-07-01,102.887179091693
51,index,2020-06-01,99.8921663876564
52,index,2020-05-01,91.7174653391091
53,index,2020-04-01,85.0490316170515
54,index,2020-03-01,93.1705055905076
55,index,2020-02-01,110.137603592061
56,index,2020-01-01,118.811698214241
57,index,2019-12-01,119.29872697487
58,index,2019-11-01,116.427399713612
59,index,2019-10-01,112.652198070281
60,index,2019-09-01,114.071880638148
61,index,2019-08-01,112.040003428534
62,index,2019-07-01,117.375106218246
63,index,2019-06-01,114.86701571619
